properties{
  x = 0,
  y = 0,
  width = 1280,
  height = 720,
  tileset = "tileset2",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 1280,
  height = 736,
  pattern = "606",
}

tile{
  layer = 0,
  x = 0,
  y = 672,
  width = 1248,
  height = 32,
  pattern = "1088",
}

tile{
  layer = 0,
  x = 32,
  y = 640,
  width = 1248,
  height = 32,
  pattern = "1077",
}

tile{
  layer = 0,
  x = 32,
  y = 672,
  width = 1248,
  height = 32,
  pattern = "1089",
}

tile{
  layer = 0,
  x = 0,
  y = 640,
  width = 1248,
  height = 32,
  pattern = "1076",
}

tile{
  layer = 0,
  x = 0,
  y = 32,
  width = 1248,
  height = 32,
  pattern = "1088",
}

tile{
  layer = 0,
  x = 32,
  y = 0,
  width = 1248,
  height = 32,
  pattern = "1077",
}

tile{
  layer = 0,
  x = 32,
  y = 32,
  width = 1248,
  height = 32,
  pattern = "1089",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 1248,
  height = 32,
  pattern = "1076",
}

enemy{
  layer = 0,
  x = 552,
  y = 117,
  direction = 0,
  breed = "mageboss",
}

destination{
  layer = 0,
  x = 344,
  y = 605,
  direction = 1,
}

enemy{
  layer = 0,
  x = 600,
  y = 541,
  direction = 0,
  breed = "knight",
}

enemy{
  layer = 0,
  x = 752,
  y = 541,
  direction = 0,
  breed = "archer",
}

