properties{
  x = 0,
  y = 0,
  width = 3200,
  height = 3200,
  tileset = "tileset2",
  music = "8-bit/12 - Timeworn Pagoda",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 3200,
  height = 96,
  pattern = "699",
}

tile{
  layer = 0,
  x = 0,
  y = 96,
  width = 1888,
  height = 32,
  pattern = "699",
}

tile{
  layer = 0,
  x = 1888,
  y = 96,
  width = 32,
  height = 32,
  pattern = "711",
}

tile{
  layer = 0,
  x = 1920,
  y = 96,
  width = 1280,
  height = 32,
  pattern = "699",
}

tile{
  layer = 0,
  x = 0,
  y = 128,
  width = 1856,
  height = 416,
  pattern = "699",
}

tile{
  layer = 0,
  x = 1856,
  y = 128,
  width = 32,
  height = 384,
  pattern = "700",
}

tile{
  layer = 0,
  x = 1888,
  y = 128,
  width = 32,
  height = 448,
  pattern = "722",
}

tile{
  layer = 0,
  x = 1920,
  y = 128,
  width = 32,
  height = 192,
  pattern = "698",
}

tile{
  layer = 0,
  x = 1952,
  y = 128,
  width = 1248,
  height = 64,
  pattern = "699",
}

tile{
  layer = 0,
  x = 1952,
  y = 192,
  width = 480,
  height = 32,
  pattern = "699",
}

tile{
  layer = 0,
  x = 2432,
  y = 192,
  width = 32,
  height = 32,
  pattern = "3710",
}

tile{
  layer = 0,
  x = 2464,
  y = 192,
  width = 64,
  height = 32,
  pattern = "3711",
}

tile{
  layer = 0,
  x = 2528,
  y = 192,
  width = 32,
  height = 32,
  pattern = "3712",
}

tile{
  layer = 0,
  x = 2560,
  y = 192,
  width = 96,
  height = 32,
  pattern = "699",
}

tile{
  layer = 0,
  x = 2656,
  y = 192,
  width = 32,
  height = 32,
  pattern = "3710",
}

tile{
  layer = 0,
  x = 2688,
  y = 192,
  width = 96,
  height = 32,
  pattern = "3711",
}

tile{
  layer = 0,
  x = 2784,
  y = 192,
  width = 32,
  height = 32,
  pattern = "3712",
}

tile{
  layer = 0,
  x = 2816,
  y = 192,
  width = 128,
  height = 32,
  pattern = "699",
}

tile{
  layer = 0,
  x = 2944,
  y = 192,
  width = 32,
  height = 32,
  pattern = "3710",
}

tile{
  layer = 0,
  x = 2976,
  y = 192,
  width = 32,
  height = 32,
  pattern = "3711",
}

tile{
  layer = 0,
  x = 3008,
  y = 192,
  width = 32,
  height = 32,
  pattern = "3712",
}

tile{
  layer = 0,
  x = 3040,
  y = 192,
  width = 160,
  height = 32,
  pattern = "699",
}

tile{
  layer = 0,
  x = 1952,
  y = 224,
  width = 288,
  height = 32,
  pattern = "699",
}

tile{
  layer = 0,
  x = 2240,
  y = 224,
  width = 32,
  height = 32,
  pattern = "3710",
}

tile{
  layer = 0,
  x = 2272,
  y = 224,
  width = 160,
  height = 32,
  pattern = "3711",
}

tile{
  layer = 0,
  x = 2432,
  y = 224,
  width = 32,
  height = 32,
  pattern = "3773",
}

tile{
  layer = 0,
  x = 2464,
  y = 224,
  width = 64,
  height = 352,
  pattern = "3723",
}

tile{
  layer = 0,
  x = 2528,
  y = 224,
  width = 32,
  height = 32,
  pattern = "3774",
}

tile{
  layer = 0,
  x = 2560,
  y = 224,
  width = 32,
  height = 32,
  pattern = "3712",
}

tile{
  layer = 0,
  x = 2592,
  y = 224,
  width = 64,
  height = 32,
  pattern = "699",
}

tile{
  layer = 0,
  x = 2656,
  y = 224,
  width = 32,
  height = 32,
  pattern = "3722",
}

tile{
  layer = 0,
  x = 2688,
  y = 224,
  width = 96,
  height = 352,
  pattern = "3723",
}

tile{
  layer = 0,
  x = 2784,
  y = 224,
  width = 32,
  height = 32,
  pattern = "3774",
}

tile{
  layer = 0,
  x = 2816,
  y = 224,
  width = 128,
  height = 32,
  pattern = "3711",
}

tile{
  layer = 0,
  x = 2944,
  y = 224,
  width = 32,
  height = 32,
  pattern = "3775",
}

tile{
  layer = 0,
  x = 2976,
  y = 224,
  width = 32,
  height = 384,
  pattern = "3723",
}

tile{
  layer = 0,
  x = 3008,
  y = 224,
  width = 32,
  height = 32,
  pattern = "3774",
}

tile{
  layer = 0,
  x = 3040,
  y = 224,
  width = 32,
  height = 32,
  pattern = "3712",
}

tile{
  layer = 0,
  x = 3072,
  y = 224,
  width = 128,
  height = 64,
  pattern = "699",
}

tile{
  layer = 0,
  x = 1952,
  y = 256,
  width = 160,
  height = 32,
  pattern = "699",
}

tile{
  layer = 0,
  x = 2112,
  y = 256,
  width = 32,
  height = 32,
  pattern = "3710",
}

tile{
  layer = 0,
  x = 2144,
  y = 256,
  width = 96,
  height = 32,
  pattern = "3711",
}

tile{
  layer = 0,
  x = 2240,
  y = 256,
  width = 32,
  height = 32,
  pattern = "3775",
}

tile{
  layer = 0,
  x = 2272,
  y = 256,
  width = 288,
  height = 320,
  pattern = "3723",
}

tile{
  layer = 0,
  x = 2560,
  y = 256,
  width = 32,
  height = 32,
  pattern = "3774",
}

tile{
  layer = 0,
  x = 2592,
  y = 256,
  width = 64,
  height = 32,
  pattern = "3711",
}

tile{
  layer = 0,
  x = 2656,
  y = 256,
  width = 32,
  height = 32,
  pattern = "3775",
}

tile{
  layer = 0,
  x = 2784,
  y = 256,
  width = 256,
  height = 320,
  pattern = "3723",
}

tile{
  layer = 0,
  x = 3040,
  y = 256,
  width = 32,
  height = 32,
  pattern = "3724",
}

tile{
  layer = 0,
  x = 1952,
  y = 288,
  width = 96,
  height = 32,
  pattern = "699",
}

tile{
  layer = 0,
  x = 2048,
  y = 288,
  width = 32,
  height = 32,
  pattern = "3710",
}

tile{
  layer = 0,
  x = 2080,
  y = 288,
  width = 32,
  height = 32,
  pattern = "3711",
}

tile{
  layer = 0,
  x = 2112,
  y = 288,
  width = 32,
  height = 32,
  pattern = "3773",
}

tile{
  layer = 0,
  x = 2144,
  y = 288,
  width = 896,
  height = 32,
  pattern = "3723",
}

tile{
  layer = 0,
  x = 3040,
  y = 288,
  width = 32,
  height = 32,
  pattern = "3774",
}

tile{
  layer = 0,
  x = 3072,
  y = 288,
  width = 32,
  height = 32,
  pattern = "3712",
}

tile{
  layer = 0,
  x = 3104,
  y = 288,
  width = 96,
  height = 1216,
  pattern = "699",
}

tile{
  layer = 0,
